Kategorie;Unterkategorie;Ausprägung;Facette;Definition;Ankerbeispiel;Einschlussregeln;Ausschlussregeln;Abgrenzung
Lernangebot;Praxis;Übertragung;gelingt;Gelerntes wurde in einer konkreten Arbeitssituation erfolgreich angewendet.;Die Fehlersuche aus dem Kurs konnte ich am nächsten Tag an unserem Übungsgerät wiederholen. Erst danach habe ich den Ablauf verstanden.;Ein konkreter eigener Anwendungsversuch gelingt zumindest teilweise.;Nur eine Absicht, bloßes Nachmachen im Kurs oder ein gescheiterter Transfer ohne gelungenen Anteil.;Rückfragen schließen gelungenen Transfer nicht aus. Bei getrennten gelungenen und gescheiterten Versuchen können beide Transfercodes zutreffen.
Lernangebot;Praxis;Übertragung;stockt;Ein konkreter Transfer scheitert oder bleibt trotz Lernangebot unsicher.;Im Kurs konnte ich jeden Schritt nachmachen. Allein vor einer anderen Maschine wusste ich dann nicht, womit ich anfangen soll.;Ein eigener Anwendungsversuch scheitert oder eine ausdrücklich benannte eigene Anwendung bleibt unklar.;Nur allgemeiner Wunsch nach mehr Übung ohne Aussage zur Anwendung.;Unklarheit über eine künftige Anwendung von Unsicherheit bei einer konkret benannten Aufgabe unterscheiden.
Lernangebot;Praxis;Übung;;Bewertung von Übungsmöglichkeiten ohne Aussage über späteren Transfer.;Es wäre gut, wenn wir denselben Versuch zweimal durchführen dürften. Nach einem Durchgang ist die Zeit schon vorbei.;Möglichkeiten, Umfang oder Bedingungen des Übens werden bewertet.;Ausschließlich ein späterer Transfer ohne Aussage zu Übungsmöglichkeiten.;Wenn sowohl das Übungsangebot als auch ein konkreter Transfer bewertet werden, sind beide Codes möglich.
Lernangebot;Materialien;;;Bewertung der bereitgestellten Lernmaterialien.;"Die Skizzen helfen mir. Bei Tabelle 3 fehlen allerdings die Einheiten; das macht das Nachlesen schwierig.";Unterlagen, Skizzen, Tabellen oder andere Lernmaterialien werden inhaltlich bewertet.;Nur technische Zugangsprobleme oder allgemeine Bewertung des Kurses.;Inhaltliche Qualität von Materialien und technische Erreichbarkeit getrennt betrachten.
Organisation;Zeit;Vereinbarkeit;entlastend;Die zeitliche Gestaltung erleichtert die Teilnahme.;Seit die Termine früher angekündigt werden, kann ich meinen Dienst tauschen. Dadurch musste ich keinen Kurstag mehr auslassen.;Terminplanung oder Zeitstruktur erleichtert ausdrücklich die Teilnahme.;Zeitliche Belastung ohne entlastenden Anteil oder reine Terminangabe ohne Bewertung.;Bei einem zeitlichen Vorher-nachher-Vergleich können entlastende und belastende Aspekte nebeneinander codiert werden.
Organisation;Zeit;Vereinbarkeit;belastend;Die zeitliche Gestaltung erschwert die Teilnahme.;Wenn der Termin erst am Vortag verschoben wird, bekomme ich meinen Dienst nicht mehr getauscht.;Termine, Verschiebungen oder Zeitaufwand erschweren ausdrücklich die Teilnahme.;Nur Wunsch nach mehr Übung ohne Zusammenhang mit Teilnahme oder Zeitorganisation.;Bei Verbesserungsvorschlägen mit benannter zeitlicher Belastung beide Aspekte getrennt codieren.
Organisation;Zugang;Technik;;Technische Bedingungen ermöglichen oder behindern den Zugang.;"Am eigenen Rechner läuft die Simulation. Auf dem Leihgerät startet sie nicht; die Fehlermeldung bleibt leer.";Gerät, Software oder Verbindung ermöglicht oder behindert den Zugriff auf das Angebot.;Reines fachliches Verständnisproblem trotz funktionierendem Zugang.;"Eine erreichbare Datei mit unverständlichem Inhalt betrifft Materialien; eine nicht ladende Datei den technischen Zugang."
Organisation;Unterstützung;;;Erfahrungen mit organisatorischer oder fachlicher Hilfe.;Auf meine Frage kam noch am selben Tag eine Antwort. Sie hat das Problem eingegrenzt, aber nicht vollständig gelöst.;Organisatorische oder fachliche Hilfe durch eine Ansprechperson wird beschrieben.;Nur wechselseitiger Austausch unter Teilnehmenden ohne erkennbare Hilfefunktion.;Gemeinsame Besprechung mit Hilfe durch die Kursleitung kann zusätzlich als Gruppenaustausch codiert werden.
Zusammenarbeit;Gruppe;Austausch;;Sachlicher Austausch zwischen Teilnehmenden.;Wir haben unsere Messwerte verglichen. Dabei fiel auf, dass wir verschiedene Bezugspunkte verwendet hatten.;Teilnehmende vergleichen Wissen, Ergebnisse oder Vorgehensweisen miteinander.;Nur einseitige Erklärung der Kursleitung oder bloße Anwesenheit in einer Gruppe.;"Sachliche Meinungsunterschiede sind nicht automatisch Konflikte; Spannungen oder ungleiche Beteiligung zusätzlich prüfen."
Zusammenarbeit;Gruppe;Konflikt;;Spannungen oder ungleiche Beteiligung innerhalb einer Gruppe.;Zwei Personen haben den Aufbau übernommen. Als ich etwas ändern wollte, hieß es, dafür sei keine Zeit mehr.;Spannungen, ungeklärte Meinungsverschiedenheiten oder ungleiche Beteiligung werden beschrieben.;Reiner sachlicher Vergleich verschiedener Ergebnisse ohne Konfliktanzeichen.;Eine konstruktive Diskussion und ein fortbestehender Konflikt können in derselben Passage vorkommen.
Verbesserungsvorschlag;;;;Konkreter Vorschlag zur Änderung des Angebots.;Eine kurze Übersicht mit den drei häufigsten Fehlern würde mir helfen. Sie könnte direkt neben dem Versuchsaufbau liegen.;Eine konkrete veränderbare Maßnahme für das Angebot wird vorgeschlagen.;Bloße Unzufriedenheit ohne erkennbare Änderungsrichtung.;"Ein Vorschlag kann zugleich einen Mangel benennen; den inhaltlichen Aspekt zusätzlich prüfen."
Gesamturteil;ambivalent;;;Ausdrücklich gemischte Gesamtbewertung ohne eindeutige positive oder negative Bilanz.;Insgesamt hat es mir etwas gebracht, aber der Aufwand war höher als erwartet. Ich würde es empfehlen, allerdings nicht uneingeschränkt.;Eine ausdrücklich gemischte oder eingeschränkte Gesamtbilanz wird formuliert.;Nur ein einzelner Kritikpunkt oder Lob ohne übergreifende Bilanz.;"Unterschiedlich bewertete Einzelaspekte allein ergeben noch kein ambivalentes Gesamturteil; eine Gesamtbewertung muss erkennbar sein."
