segment_id;PassageID;Dokumentname;Code;Segment;Testszenario
SYN-001;SYN-PASS-001;SYN-P01;Lernangebot > Praxis > Übertragung > gelingt;Die Fehlersuche aus dem Kurs konnte ich am nächsten Tag an unserem Übungsgerät wiederholen. Erst danach habe ich den Ablauf verstanden.;eindeutig
SYN-002;SYN-PASS-002;SYN-P02;Lernangebot > Praxis > Übertragung > gelingt;Beim zweiten Versuch habe ich die Messwerte selbst geprüft. Die Checkliste aus dem Seminar war dafür wirklich brauchbar.;kontextsensitiv
SYN-003;SYN-PASS-003;SYN-P03;Lernangebot > Praxis > Übertragung > gelingt;Das Beispiel war anders als meine Aufgabe, aber das Vorgehen ließ sich übertragen. Ganz ohne Rückfrage ging es noch nicht.;kontextsensitiv
SYN-004;SYN-PASS-004;SYN-P02;Lernangebot > Praxis > Übertragung > stockt;Im Kurs konnte ich jeden Schritt nachmachen. Allein vor einer anderen Maschine wusste ich dann nicht, womit ich anfangen soll.;eindeutig
SYN-005;SYN-PASS-005;SYN-P03;Lernangebot > Praxis > Übertragung > stockt;"Das Verfahren kenne ich jetzt dem Namen nach; für meinen Arbeitsauftrag hilft mir das bisher noch nicht.";kontextsensitiv
SYN-006;SYN-PASS-006;SYN-P04;Lernangebot > Praxis > Übertragung > stockt;Die Erklärung klang klar. Beim eigenen Versuch passten die Anschlüsse nicht, und ich habe die Aufgabe abgebrochen.;kontextsensitiv
SYN-007;SYN-PASS-007;SYN-P03;Lernangebot > Praxis > Übung;Es wäre gut, wenn wir denselben Versuch zweimal durchführen dürften. Nach einem Durchgang ist die Zeit schon vorbei.;eindeutig
SYN-008;SYN-PASS-008;SYN-P04;Lernangebot > Praxis > Übung;Die kleinen Übungsgruppen fand ich angenehm. Ob ich das später allein kann, weiß ich noch nicht.;kontextsensitiv
SYN-009;SYN-PASS-009;SYN-P05;Lernangebot > Praxis > Übung;Für die Station hatten wir nur ein Messgerät. Ich habe zugesehen, aber selbst kaum etwas ausprobiert.;kontextsensitiv
SYN-010;SYN-PASS-010;SYN-P04;Lernangebot > Materialien;"Die Skizzen helfen mir. Bei Tabelle 3 fehlen allerdings die Einheiten; das macht das Nachlesen schwierig.";eindeutig
SYN-011;SYN-PASS-011;SYN-P05;Lernangebot > Materialien;Ich nutze vor allem die kurze Anleitung. Das lange Video habe ich bisher nicht bis zum Ende angesehen.;kontextsensitiv
SYN-012;SYN-PASS-012;SYN-P06;Lernangebot > Materialien;Im Skript steht „vor dem Einschalten prüfen“. Was genau geprüft werden soll, wird auf der Seite nicht erläutert.;kontextsensitiv
SYN-013;SYN-PASS-013;SYN-P05;Organisation > Zeit > Vereinbarkeit > entlastend;Seit die Termine früher angekündigt werden, kann ich meinen Dienst tauschen. Dadurch musste ich keinen Kurstag mehr auslassen.;eindeutig
SYN-014;SYN-PASS-014;SYN-P06;Organisation > Zeit > Vereinbarkeit > entlastend;Das Material am Abend abrufen zu können, hilft mir. Tagsüber habe ich dafür keinen freien Block.;kontextsensitiv
SYN-015;SYN-PASS-015;SYN-P01;Organisation > Zeit > Vereinbarkeit > entlastend;Zwei kurze Treffen passen für mich besser als ein ganzer Samstag. So bleibt der Nachmittag für andere Aufgaben frei.;kontextsensitiv
SYN-016;SYN-PASS-016;SYN-P06;Organisation > Zeit > Vereinbarkeit > belastend;Wenn der Termin erst am Vortag verschoben wird, bekomme ich meinen Dienst nicht mehr getauscht.;eindeutig
