Dokumentname;Code;Segment
Interview_01;Entscheidungsmotive > Intrinsische Aspekte > Interesse an Aufgaben;Ich finde einige Aufgaben spannend, bei anderen frage ich mich noch, ob mich das auf Dauer wirklich motiviert.
Interview_08;Erwartungen an Tätigkeit > Arbeitsbedingungen > Flexibilität und Autonomie;"Zu viel Freiheit ohne klare Zuständigkeiten fände ich eher schwierig; ein Rahmen ist für mich schon hilfreich."
Interview_07;Entscheidungsmotive > Pragmatische Aspekte > Sicherheit und Planbarkeit;"Zu viel Sicherheit kann auch bedeuten, dass Strukturen sehr starr sind; da bin ich etwas zwiegespalten."
Interview_06;Kompetenzerleben > Soziale Kompetenz > Konflikte und Grenzen;Ich glaube, dass ich in schwierigen Gesprächen noch sicherer werden muss, besonders wenn viel Emotion im Spiel ist.
Interview_02;Entscheidungsmotive > Soziale Aspekte > Menschen unterstützen;Andere zu unterstützen motiviert mich, aber ich möchte dabei auch klare Grenzen haben und nicht für alles verantwortlich sein.
Interview_03;Erwartungen an Tätigkeit > Arbeitsbedingungen > Flexibilität und Autonomie;Ich möchte eigenständig arbeiten können, brauche am Anfang aber klare Orientierung und Rückmeldung.
Interview_04;Kompetenzerleben > Soziale Kompetenz > Kommunikation;Ich höre erst einmal zu und versuche dann, meine Sicht so zu erklären, dass die andere Person damit etwas anfangen kann.
Interview_03;Kompetenzerleben > Fachliche Kompetenz > Eigene Stärken;Ich kann mich schnell in komplexe Themen einarbeiten und sehe das als eine meiner fachlichen Stärken.
Interview_02;Erwartungen an Tätigkeit > Wirksamkeit > Einfluss und Gestaltung;Ich möchte nicht nur Vorgaben abarbeiten, sondern zumindest an einigen Stellen eigene Ideen einbringen können.
Interview_10;Entscheidungsmotive > Pragmatische Aspekte > Sicherheit und Planbarkeit;Sicherheit ist angenehm, aber wenn die Tätigkeit mich nicht interessieren würde, würde mir das allein nicht reichen.
Interview_10;Erwartungen an Tätigkeit > Wirksamkeit > Einfluss und Gestaltung;Ich würde gerne Dinge verbessern, bin mir aber bewusst, dass man als einzelne Person nur begrenzten Einfluss hat.
Interview_04;Kompetenzerleben > Fachliche Kompetenz > Eigene Stärken;In meinem bisherigen Schwerpunkt fühle ich mich kompetent, außerhalb davon muss ich teilweise deutlich mehr nacharbeiten.
Interview_07;Erwartungen an Tätigkeit > Wirksamkeit > Einfluss und Gestaltung;Mir ist wichtig, dass ich am Ende sehe, dass meine Arbeit tatsächlich etwas bewirkt.
Interview_05;Entscheidungsmotive > Intrinsische Aspekte > Interesse an Aufgaben;Das Tätigkeitsfeld interessiert mich, aber ich würde nicht sagen, dass das allein meine Entscheidung getragen hat.
Interview_07;Entscheidungsmotive > Soziale Aspekte > Menschen unterstützen;Mir ist wichtig, dass meine Arbeit für andere Menschen einen konkreten Nutzen hat und nicht nur für mich selbst.
Interview_04;Entscheidungsmotive > Soziale Aspekte > Menschen unterstützen;Ich arbeite gerne mit Menschen, besonders wenn ich merke, dass meine Unterstützung wirklich gebraucht wird.
Interview_01;Kompetenzerleben > Fachliche Kompetenz > Unsicherheiten und Lernbedarf;Bei einigen fachlichen Themen merke ich noch deutliche Lücken und müsste mich gezielt einarbeiten.
Interview_07;Entscheidungsmotive > Intrinsische Aspekte > Freude am Lernen;Ich lerne gern neue Dinge und finde es motivierend, wenn ich merke, dass ich fachlich Schritt für Schritt besser werde.
Interview_09;Erwartungen an Tätigkeit > Zusammenarbeit > Team und Austausch;Ich arbeite gern im Team, brauche aber trotzdem Bereiche, für die ich selbst verantwortlich bin.
Interview_10;Kompetenzerleben > Soziale Kompetenz > Kommunikation;Ich kann meistens gut erklären, was ich meine, und merke schnell, wenn mein Gegenüber etwas anders verstanden hat.
Interview_02;Erwartungen an Tätigkeit > Zusammenarbeit > Team und Austausch;Der Austausch mit Kolleginnen und Kollegen ist mir wichtig, weil man dadurch andere Sichtweisen mitbekommt.
Interview_08;Kompetenzerleben > Soziale Kompetenz > Kommunikation;Kommunikation ist grundsätzlich eine Stärke von mir, aber in großen Gruppen bin ich anfangs eher zurückhaltend.
Interview_08;Kompetenzerleben > Fachliche Kompetenz > Eigene Stärken;Meine Stärke ist, dass ich Probleme strukturiert angehe und nicht sofort aufgebe, wenn etwas nicht funktioniert.
Interview_02;Erwartungen an Tätigkeit > Arbeitsbedingungen > Belastung und Zeitdruck;Unter Druck kann ich kurzfristig gut arbeiten, aber ich brauche danach auch wieder ruhigere Phasen.
Interview_06;Kompetenzerleben > Soziale Kompetenz > Kommunikation;Gespräche mit unterschiedlichen Menschen fallen mir relativ leicht, solange die Situation nicht stark konflikthaft ist.
Interview_08;Kompetenzerleben > Soziale Kompetenz > Konflikte und Grenzen;Wenn Rollen und Erwartungen klar sind, kann ich mit Konflikten besser umgehen als in sehr unklaren Situationen.
Interview_05;Kompetenzerleben > Soziale Kompetenz > Konflikte und Grenzen;Ich kann Grenzen setzen, auch wenn es mir nicht immer leichtfällt, eine andere Person damit zu enttäuschen.
Interview_05;Erwartungen an Tätigkeit > Zusammenarbeit > Team und Austausch;"Zu viele Abstimmungen können mich eher bremsen; ich finde Zusammenarbeit gut, solange sie nicht zum Selbstzweck wird."
Interview_09;Kompetenzerleben > Fachliche Kompetenz > Unsicherheiten und Lernbedarf;Ich traue mir fachlich viel zu, aber es gibt Bereiche, in denen ich bisher kaum praktische Erfahrung habe.
Interview_10;Entscheidungsmotive > Soziale Aspekte > Menschen unterstützen;Der soziale Nutzen spielt für mich eine Rolle, ist aber nicht wichtiger als passende Arbeitsbedingungen.
Interview_04;Kompetenzerleben > Soziale Kompetenz > Konflikte und Grenzen;Bei Konflikten versuche ich sachlich zu bleiben, merke aber, dass mich manche Situationen länger beschäftigen.
Interview_03;Kompetenzerleben > Soziale Kompetenz > Konflikte und Grenzen;Offene Konflikte vermeide ich manchmal zunächst, obwohl ich weiß, dass das Problem dadurch nicht automatisch verschwindet.
Interview_02;Entscheidungsmotive > Pragmatische Aspekte > Sicherheit und Planbarkeit;Ein verlässliches Einkommen und eine gewisse Planungssicherheit waren für meine Entscheidung schon wichtig.
Interview_06;Erwartungen an Tätigkeit > Arbeitsbedingungen > Flexibilität und Autonomie;Autonomie ist attraktiv, solange Entscheidungen transparent sind und Verantwortung realistisch verteilt wird.
