"Kategorie";"Unterkategorie";"Ausprägung";"Facette";"Definition";"Ankerbeispiel"
"Entscheidungsmotive";"Intrinsische Aspekte";"";"Freude am Lernen";"Aussagen über Freude daran, Neues zu lernen und sich in unbekannte Inhalte einzuarbeiten.";"Ich lerne gern neue Dinge und finde es motivierend, wenn ich merke, dass ich fachlich Schritt für Schritt besser werde."
"Entscheidungsmotive";"Intrinsische Aspekte";"";"Interesse an Aufgaben";"Aussagen über inhaltliches Interesse an den erwarteten Aufgaben und Tätigkeitsfeldern.";"Ich finde einige Aufgaben spannend, bei anderen frage ich mich noch, ob mich das auf Dauer wirklich motiviert."
"Entscheidungsmotive";"Pragmatische Aspekte";"";"Sicherheit und Planbarkeit";"Aussagen über Sicherheit, Stabilität, Verlässlichkeit und Planbarkeit als Entscheidungsgesichtspunkte.";"Zu viel Sicherheit kann auch bedeuten, dass Strukturen sehr starr sind; da bin ich etwas zwiegespalten."
"Entscheidungsmotive";"Soziale Aspekte";"";"Menschen unterstützen";"Aussagen über den Wunsch, andere Menschen zu begleiten, zu fördern oder praktisch zu unterstützen.";"Andere zu unterstützen motiviert mich, aber ich möchte dabei auch klare Grenzen haben und nicht für alles verantwortlich sein."
"Erwartungen an Tätigkeit";"Arbeitsbedingungen";"";"Belastung und Zeitdruck";"Aussagen über Arbeitsbelastung, knappe Zeit, Druck und den Umgang mit hohen Anforderungen.";"Unter Druck kann ich kurzfristig gut arbeiten, aber ich brauche danach auch wieder ruhigere Phasen."
"Erwartungen an Tätigkeit";"Arbeitsbedingungen";"";"Flexibilität und Autonomie";"Aussagen über eigene Gestaltungsspielräume, flexible Arbeitsweisen und selbstständige Entscheidungen.";"Zu viel Freiheit ohne klare Zuständigkeiten fände ich eher schwierig; ein Rahmen ist für mich schon hilfreich."
"Erwartungen an Tätigkeit";"Wirksamkeit";"";"Einfluss und Gestaltung";"Aussagen über die Möglichkeit, Abläufe, Inhalte oder Entwicklungen wirksam mitzugestalten.";"Ich möchte nicht nur Vorgaben abarbeiten, sondern zumindest an einigen Stellen eigene Ideen einbringen können."
"Erwartungen an Tätigkeit";"Zusammenarbeit";"";"Team und Austausch";"Aussagen über Kooperation, fachlichen Austausch und gemeinsame Arbeit im Team.";"Ich arbeite gern im Team, brauche aber trotzdem Bereiche, für die ich selbst verantwortlich bin."
"Kompetenzerleben";"Fachliche Kompetenz";"";"Eigene Stärken";"Aussagen über selbst wahrgenommene fachliche Fähigkeiten und vorhandene Stärken.";"Ich kann mich schnell in komplexe Themen einarbeiten und sehe das als eine meiner fachlichen Stärken."
"Kompetenzerleben";"Fachliche Kompetenz";"";"Unsicherheiten und Lernbedarf";"Aussagen über fachliche Unsicherheit, Wissenslücken oder wahrgenommenen weiteren Lernbedarf.";"Bei einigen fachlichen Themen merke ich noch deutliche Lücken und müsste mich gezielt einarbeiten."
"Kompetenzerleben";"Soziale Kompetenz";"";"Kommunikation";"Aussagen über Zuhören, verständliches Erklären und den kommunikativen Umgang mit anderen.";"Ich höre erst einmal zu und versuche dann, meine Sicht so zu erklären, dass die andere Person damit etwas anfangen kann."
"Kompetenzerleben";"Soziale Kompetenz";"";"Konflikte und Grenzen";"Aussagen über den Umgang mit Konflikten, schwierigen Gesprächen und eigenen sozialen Grenzen.";"Ich glaube, dass ich in schwierigen Gesprächen noch sicherer werden muss, besonders wenn viel Emotion im Spiel ist."

